,idaviso,idcaracteristica,count
1748,48091876,2000141,11
1749,48091876,1000090,11
1750,48091876,1000092,11
1751,22609816,1000102,7
1752,22609816,1000038,7
1753,22609816,1000116,7
1754,22609816,1000078,7
1755,22609816,1000068,7
1756,22609816,2000142,7
1757,22609816,2000148,7
1760,45871337,1000111,3
1764,45871337,1000068,3
1765,45871337,1000106,3
1767,22632900,1000102,7
1768,22632900,1000038,7
1769,22632900,1000116,7
1770,22632900,1000110,7
1771,22632900,1000111,7
1772,22632900,1000100,7
1773,22632900,1000117,7
1779,22633790,1000079,2
1784,22633790,1000109,2
1790,22661824,1000027,4
1791,22661824,1000078,4
1793,22661824,1000068,4
1794,22661824,1000106,4
1796,22666080,1000102,3
1802,22666080,1000106,3
1803,22666080,1000118,3
1804,22763207,1000116,1
1805,22780444,1000110,2
1806,22780444,1000100,2
1809,22820444,1000116,2
1810,22820444,1000110,2
1811,22821053,1000102,9
1812,22821053,1000116,9
1813,22821053,1000110,9
1814,22821053,1000111,9
1815,22821053,1000079,9
1816,22821053,1000068,9
1817,22821053,2000142,9
1818,22821053,1000090,9
1819,22821053,1000117,9
1822,48075436,1000116,3
1824,48075436,1000111,3
1829,48075436,1000092,3
1833,48584625,1000085,1
1834,48605464,1000102,1
1837,48581116,1000027,3
1841,48581116,1000085,3
1842,48581116,1000109,3
1843,47982782,1000102,2
1844,47982782,1000078,2
1846,47308881,1000027,1
1848,22849397,1000027,2
1849,22849397,1000100,2
1850,22849403,1000102,10
1851,22849403,1000116,10
1852,22849403,1000110,10
1853,22849403,1000111,10
1854,22849403,1000100,10
1855,22849403,1000079,10
1856,22849403,1000068,10
1858,22849403,2000142,10
1860,22849403,2000141,10
1861,48155698,1000116,3
1862,22849403,1000090,10
1864,48155698,1000111,3
1868,48155698,1000101,3
1875,22850130,1000038,2
1876,22850130,1000068,2
1877,22853360,1000102,2
1879,22853360,1000038,2
1881,48404885,1000027,2
1883,48404885,1000111,2
1890,22856612,1000102,4
1891,22856612,1000027,4
1892,22856612,1000111,4
1893,22856612,1000100,4
1894,47957396,1000102,3
1895,47957396,1000114,3
1896,47957396,1000115,3
1897,22928969,1000102,5
1899,22928969,1000111,5
1901,22928969,1000068,5
1902,22928969,2000142,5
1903,22928969,2000141,5
1904,22951243,1000102,4
1905,22951243,1000027,4
1906,22951243,1000111,4
1907,22951243,1000100,4
1917,48432599,1000118,1
1919,22954472,2000142,1
1920,22969766,1000102,3
1921,22969766,1000111,3
1922,22969766,1000100,3
1926,22987718,1000027,4
1928,22987718,1000078,4
1930,22987718,1000079,4
1931,22987718,1000090,4
1934,48321950,1000114,5
1935,48321950,1000111,5
1937,48321950,1000101,5
1939,48321950,2000142,5
1940,48321950,1000106,5
1943,48449312,1000110,4
1946,48449312,1000085,4
1947,48449312,1000117,4
1948,48449312,1000109,4
1951,48549491,1000116,2
1952,48549491,1000111,2
1962,23107086,1000102,4
1963,46370096,1000102,5
1964,23107086,1000027,4
1965,46370096,1000027,5
1966,23107086,1000111,4
1967,46370096,1000111,5
1968,23107086,1000106,4
1973,46370096,1000117,5
1974,46370096,1000106,5
1975,23122355,2000142,1
1977,23132707,1000102,4
1979,23132707,1000116,4
1982,23132707,2000142,4
1983,23132707,2000148,4
1985,23137115,1000027,5
1987,23137115,1000078,5
1990,23137115,1000090,5
1991,23137115,1000106,5
1992,23137115,1000092,5
1995,46418906,1000038,6
1996,46418906,1000116,6
1999,46418906,1000002,6
2001,46418906,2000142,6
2002,46418906,2000141,6
2003,46418906,1000090,6
2005,48482969,1000102,3
2006,48482969,1000114,3
2007,48482969,1000111,3
2010,48584752,1000110,1
2013,23169471,1000102,4
2015,23169471,1000027,4
2016,23169471,1000116,4
2017,23169471,1000078,4
2022,45679670,1000038,5
2026,45679670,1000002,5
2028,45679670,2000142,5
2029,45679670,2000141,5
2030,45679670,1000090,5
2033,23198271,1000111,1
2040,23203092,1000110,2
2043,23203092,1000117,2
2044,23233312,1000102,4
2045,23233312,1000027,4
2046,23233312,1000111,4
2047,23233312,1000106,4
2049,48091541,1000004,11
2050,48091541,1000038,11
2051,48091541,1000116,11
2052,48091541,1000078,11
2053,48091541,1000079,11
2054,48091541,1000002,11
2055,48091541,1000068,11
2056,48091541,2000142,11
2057,48091541,2000141,11
2058,48091541,1000090,11
2059,48091541,1000092,11
2060,23247733,1000102,10
2061,23247733,1000038,10
2062,23247733,1000116,10
2064,23247733,1000110,10
2065,23247733,1000111,10
2066,23247733,1000078,10
2067,23247733,1000100,10
2068,23247733,1000068,10
2069,23247733,1000117,10
2070,23247733,1000109,10
2072,23262934,1000038,2
2073,23262934,1000027,2
2078,48107948,1000116,3
2079,48107948,1000111,3
2083,48107948,1000117,3
2089,45701798,1000038,6
2090,45701798,1000116,6
2093,45701798,1000002,6
2095,45701798,2000142,6
2096,45701798,2000141,6
2097,45701798,1000090,6
2101,23334549,1000116,3
2103,23334549,1000111,3
2107,23334549,2000142,3
2119,48584472,2000148,1
2124,47548497,1000111,1
2130,23431967,1000102,3
2131,23431967,1000027,3
2132,23431967,1000101,3
2133,23440487,1000102,12
2134,23440487,1000116,12
2135,23440487,1000111,12
2136,23440487,1000078,12
2137,23440487,1000100,12
2138,23440487,1000079,12
2139,23440487,1000101,12
2140,23440487,1000068,12
2141,23440487,1000090,12
2142,23440487,1000117,12
2143,23440487,1000106,12
2144,23440487,1000092,12
2147,23452744,1000116,1
2153,48163204,2000142,1
2155,46767399,1000102,8
2156,46767399,1000114,8
2158,46767399,1000116,8
2162,46767399,1000100,8
2163,48260254,1000111,1
2165,46767399,1000101,8
2167,46767399,2000141,8
2169,46767399,2000148,8
2170,46767399,1000118,8
2173,44056494,1000102,2
2174,23561990,1000110,2
2175,44056494,1000100,2
2178,23561990,1000117,2
2186,48605477,1000116,2
2188,48605477,1000079,2
2191,23588998,1000105,2
2194,23588998,1000117,2
2195,23591715,1000038,6
2196,23591715,1000110,6
2197,23591715,1000078,6
2198,23591715,1000079,6
2199,23591715,1000068,6
2200,23591715,1000090,6
2201,48536685,1000102,6
2202,48536685,1000114,6
2203,48536685,1000110,6
2204,48536685,1000111,6
2205,48536685,1000106,6
2206,48536685,1000118,6
2209,23598030,1000102,7
2210,23598030,1000038,7
2211,23598030,1000027,7
2212,23598030,1000110,7
2213,23598030,1000111,7
2214,23598030,1000100,7
2215,23598030,1000101,7
2216,23600938,1000102,6
2217,23600938,1000027,6
2218,23600938,1000111,6
2219,23600938,1000100,6
2220,23600938,2000141,6
2221,23600938,1000106,6
2229,23601013,1000114,1
2232,23623648,1000038,1
2235,23634908,1000110,4
