,idaviso,dia,visits,impressions,leads
446,45421645,2021-10-07,0.0,4.0,0.0
447,45421645,2021-10-08,0.0,6.0,0.0
448,45421645,2021-10-09,0.0,1.0,0.0
449,45421645,2021-10-10,0.0,3.0,0.0
450,45421645,2021-10-11,0.0,3.0,0.0
451,45421645,2021-10-12,0.0,1.0,0.0
452,45421645,2021-10-14,0.0,1.0,0.0
453,45421645,2021-10-15,0.0,2.0,0.0
454,45421645,2021-10-16,0.0,3.0,0.0
455,45421645,2021-10-17,0.0,3.0,0.0
456,45421645,2021-10-18,0.0,5.0,0.0
457,45421645,2021-10-19,0.0,3.0,0.0
458,45421645,2021-10-20,0.0,1.0,0.0
459,45421645,2021-10-21,0.0,2.0,0.0
460,45421645,2021-10-22,0.0,1.0,0.0
461,45421645,2021-10-23,0.0,2.0,0.0
462,45421645,2021-10-24,0.0,4.0,0.0
463,45421645,2021-10-25,0.0,3.0,0.0
464,45421645,2021-10-26,0.0,4.0,0.0
465,45421645,2021-10-27,0.0,3.0,0.0
466,45421645,2021-10-28,0.0,2.0,0.0
467,46305355,2021-09-29,5.0,11.0,0.0
468,46305355,2021-09-30,2.0,4.0,0.0
469,46305355,2021-10-01,1.0,18.0,0.0
470,46305355,2021-10-02,0.0,6.0,0.0
471,46305355,2021-10-03,4.0,18.0,0.0
472,46305355,2021-10-04,0.0,8.0,0.0
473,46305355,2021-10-05,2.0,8.0,1.0
474,46305355,2021-10-06,0.0,11.0,0.0
475,46305355,2021-10-07,3.0,16.0,0.0
476,46305355,2021-10-08,5.0,16.0,0.0
477,46305355,2021-10-09,4.0,12.0,0.0
478,46305355,2021-10-10,4.0,22.0,0.0
479,46305355,2021-10-11,0.0,12.0,0.0
480,46305355,2021-10-12,0.0,17.0,0.0
481,46305355,2021-10-13,0.0,17.0,0.0
482,46305355,2021-10-14,0.0,20.0,0.0
483,46305355,2021-10-15,1.0,24.0,0.0
484,46305355,2021-10-16,2.0,5.0,0.0
485,46633958,2021-09-29,0.0,6.0,0.0
486,46633958,2021-09-30,0.0,6.0,0.0
487,46633958,2021-10-01,1.0,2.0,0.0
488,46633958,2021-10-02,0.0,5.0,0.0
489,46633958,2021-10-03,0.0,5.0,0.0
490,46633958,2021-10-04,1.0,4.0,0.0
491,46633958,2021-10-05,0.0,4.0,0.0
492,46633958,2021-10-06,0.0,9.0,0.0
493,46633958,2021-10-07,0.0,7.0,0.0
494,46633958,2021-10-08,0.0,9.0,0.0
495,46633958,2021-10-09,0.0,2.0,0.0
496,46633958,2021-10-10,0.0,5.0,0.0
497,46633958,2021-10-11,0.0,7.0,0.0
498,46633958,2021-10-12,1.0,8.0,0.0
499,46633958,2021-10-13,0.0,7.0,0.0
500,46633958,2021-10-14,0.0,15.0,0.0
501,46633958,2021-10-15,0.0,2.0,0.0
502,46633958,2021-10-16,0.0,2.0,0.0
503,46633958,2021-10-17,0.0,1.0,0.0
504,46633958,2021-10-18,0.0,1.0,0.0
505,46633958,2021-10-19,0.0,7.0,0.0
506,46633958,2021-10-20,0.0,1.0,0.0
507,46633958,2021-10-21,0.0,7.0,0.0
508,46633958,2021-10-22,0.0,9.0,0.0
509,46633958,2021-10-23,0.0,2.0,0.0
510,46633958,2021-10-24,0.0,5.0,0.0
511,46633958,2021-10-25,0.0,7.0,0.0
