,idaviso,idcaracteristica
43611,25981392,1000018
43612,25981392,1000019
43613,25981392,1000020
43614,25981392,1000021
43615,25981392,1000027
43616,25981392,1000029
43617,25981392,1000033
43618,25981392,1000038
43619,25981392,1000040
43620,25981392,1000046
43621,25981392,1000100
43622,25981392,1000102
43623,25981392,1000108
43624,25981392,1000110
43625,25981392,1000111
43626,25981392,1000112
43627,25981392,1000116
43628,25981392,1000118
43629,25981392,1000121
43630,25981392,1000122
43631,25981392,1000125
43632,25981392,1000127
43633,25981392,1000128
43634,25981392,1000129
43635,25981392,1000131
43786,26090816,1000004
43787,26090816,1000009
43788,26090816,1000015
43789,26090816,1000017
43790,26090816,1000020
43791,26090816,1000021
43792,26090816,1000027
43793,26090816,1000033
43794,26090816,1000038
43795,26090816,1000100
43796,26090816,1000102
43797,26090816,1000121
43798,26090816,1000122
43799,26090816,1000125
43800,26090816,1000127
43801,26090816,1000128
43802,26090816,1000129
46295,26746277,1000005
46296,26746277,1000009
46297,26746277,1000010
46298,26746277,1000015
46299,26746277,1000017
46300,26746277,1000018
46301,26746277,1000019
46302,26746277,1000020
46303,26746277,1000021
46304,26746277,1000027
46305,26746277,1000029
46306,26746277,1000033
46307,26746277,1000038
46308,26746277,1000046
46309,26746277,1000071
46310,26746277,1000100
46311,26746277,1000101
46312,26746277,1000102
46313,26746277,1000103
46314,26746277,1000104
46315,26746277,1000105
46316,26746277,1000106
46317,26746277,1000107
46318,26746277,1000108
46319,26746277,1000110
46320,26746277,1000111
46321,26746277,1000117
46322,26746277,1000118
46323,26746277,1000121
46324,26746277,1000122
46325,26746277,1000125
46326,26746277,1000127
46327,26746277,1000128
46328,26746277,1000129
46948,26998425,1000004
46949,26998425,1000005
46950,26998425,1000009
46951,26998425,1000010
46952,26998425,1000015
46953,26998425,1000017
46954,26998425,1000019
46955,26998425,1000020
46956,26998425,1000021
46957,26998425,1000022
46958,26998425,1000027
46959,26998425,1000029
46960,26998425,1000033
46961,26998425,1000046
46962,26998425,1000068
46963,26998425,1000074
46964,26998425,1000078
46965,26998425,1000079
46966,26998425,1000085
46967,26998425,1000088
46968,26998425,1000090
46969,26998425,1000092
46970,26998425,1000100
46971,26998425,1000102
46972,26998425,1000106
46973,26998425,1000108
46974,26998425,1000112
46975,26998425,1000117
46976,26998425,1000121
46977,26998425,1000125
46978,26998425,1000127
46979,26998425,1000128
47723,48587646,1000016
47724,48587646,1000025
47725,48587646,1000026
47726,48587646,1000046
47727,48587646,1000078
47728,48587646,1000100
47729,48587646,1000102
47730,48587646,1000104
47731,48587646,1000106
47732,48587646,1000108
47733,48587646,1000111
47734,48587646,1000114
47735,48587646,1000116
47736,48587646,1000117
48512,27203738,1000002
48513,27203738,1000004
48514,27203738,1000009
48515,27203738,1000010
48516,27203738,1000015
48517,27203738,1000017
48518,27203738,1000018
48519,27203738,1000019
48520,27203738,1000020
48521,27203738,1000021
48522,27203738,1000027
48523,27203738,1000033
48524,27203738,1000038
48525,27203738,1000040
48526,27203738,1000046
48527,27203738,1000074
48528,27203738,1000078
48529,27203738,1000079
48530,27203738,1000090
48531,27203738,1000092
48532,27203738,1000100
48533,27203738,1000102
48534,27203738,1000103
48535,27203738,1000107
48536,27203738,1000110
48537,27203738,1000116
48538,27203738,1000117
48620,27228669,1000001
48621,27228669,1000005
48622,27228669,1000009
48623,27228669,1000010
48624,27228669,1000015
48625,27228669,1000017
48626,27228669,1000019
48627,27228669,1000020
